Port country;Port name;Port code;Port location;Latitude;Longitude;Port salinity min;Port salinity max;Target category
SE;Ystad marina;SE_YST;YST_artificial_habitat_3;55.426361083984375;13.816160202026367;9.0;9.0;Target HELCOM
SE;Ystad marina;SE_YST;YST_RAS_9;55.42525863647461;13.815179824829102;9.0;9.0;Target HELCOM
PL;Szczecin;PLSZZ;Site 1;53.4033317565918;14.608471870422363;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 2;53.405643463134766;14.607694625854492;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 3;53.42444610595703;14.574999809265137;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 4;53.424720764160156;14.59083366394043;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 5;53.425724029541016;14.575860977172852;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 6;53.4368896484375;14.587055206298828;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Szczecin;PLSZZ;Site 7;53.450889587402344;14.587528228759766;0.4399999976158142;0.5799999833106995;Target HELCOM
PL;Gdańsk;GDA;W1;54.404911041259766;18.67279815673828;2.640000104904175;7.21999979019165;Target HELCOM
PL;Gdańsk;GDA;W2;54.383079528808594;18.67511749267578;2.640000104904175;7.21999979019165;Target HELCOM
PL;Gdańsk;GDA;W3;54.36463928222656;18.666778564453125;2.640000104904175;7.21999979019165;Target HELCOM
PL;Gdańsk;GDA;Z1;54.407005310058594;18.714073181152344;2.640000104904175;7.21999979019165;Target HELCOM
PL;Gdańsk;GDA;Z2;54.38911056518555;18.721750259399414;2.640000104904175;7.21999979019165;Target HELCOM
PL;Gdańsk;GDA;Z3;54.39847946166992;18.691402435302734;2.640000104904175;7.21999979019165;Target HELCOM
LT;Klaipėda;LT  KLJ;Site 1;55.719356536865234;21.10188865661621;5.949999809265137;7.170000076293945;Target HELCOM
LT;Klaipėda;LT  KLJ;Site 2;55.69736099243164;21.121503829956055;4.28000020980835;6.849999904632568;Target HELCOM
LT;Klaipėda;LT  KLJ;Site 3;55.688232421875;21.137744903564453;0.20999999344348907;6.28000020980835;Target HELCOM
LT;Klaipėda;LT  KLJ;Site 4;55.66400146484375;21.148000717163086;0.3499999940395355;5.809999942779541;Target HELCOM
PL;Gdynia;GDY;1 Bulgarian;54.54174041748047;18.512203216552734;6.630000114440918;6.940000057220459;Target HELCOM
PL;Gdynia;GDY;2 Romanian;54.54461669921875;18.527523040771484;6.71999979019165;6.940000057220459;Target HELCOM
PL;Gdynia;GDY;3 Wenda;54.529361724853516;18.559669494628906;6.289999961853027;7.099999904632568;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_1;58.89858627319336;17.95448875427246;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_2;58.8990364074707;17.953161239624023;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_3;58.89985275268555;17.95153045654297;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_4;58.89944839477539;17.953332901000977;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_5;58.899349212646484;17.953767776489258;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_RAS_6;58.89940643310547;17.9521541595459;6.0;7.0;Target HELCOM
SE;Nynäshamn guest harbour;SE_NYGH;NG_artificial_habitat_2;58.89982604980469;17.951278686523438;6.0;7.0;Target HELCOM
